1.12202e-01  9.73020e-10
1.41254e-01  1.55290e-09
1.77828e-01  9.21938e-10
2.23872e-01  1.39086e-09
2.81838e-01  1.55700e-09
3.54813e-01  1.41123e-09
4.46684e-01  1.55421e-09
5.62341e-01  1.39192e-09
7.07946e-01  1.19242e-09
8.91251e-01  1.45703e-09
1.12202e+00  1.34256e-09
1.41254e+00  1.19932e-09
1.77828e+00  1.21702e-09
2.23872e+00  1.15945e-09
2.81838e+00  1.08649e-09
3.54813e+00  1.06885e-09
4.46684e+00  1.10329e-09
5.62341e+00  9.98021e-10
7.07946e+00  9.95791e-10
8.91251e+00  9.79222e-10
1.12202e+01  9.66209e-10
1.41254e+01  9.10597e-10
1.77828e+01  8.67017e-10
2.23872e+01  8.58553e-10
2.81838e+01  7.77475e-10
3.54813e+01  7.14518e-10
4.46684e+01  6.73859e-10
5.62341e+01  6.01849e-10
7.07946e+01  5.41763e-10
8.91251e+01  4.64080e-10
1.12202e+02  3.94534e-10
1.41254e+02  3.20187e-10
1.77828e+02  2.57367e-10
2.23872e+02  1.95526e-10
2.81838e+02  1.45432e-10
3.54813e+02  1.02762e-10
4.46684e+02  6.94210e-11
5.62341e+02  4.44449e-11
7.07946e+02  2.74013e-11
8.91251e+02  1.59991e-11
1.12202e+03  9.05143e-12
1.41254e+03  4.82264e-12
1.77828e+03  2.54447e-12
2.23872e+03  1.29179e-12
2.81838e+03  6.28670e-13
3.54813e+03  2.97825e-13
4.46684e+03  1.40036e-13
5.62341e+03  6.40577e-14
7.07946e+03  2.89734e-14
8.91251e+03  1.28854e-14
1.12202e+04  5.75718e-15
1.41254e+04  2.52262e-15
1.77828e+04  1.08878e-15
2.23872e+04  4.73400e-16
2.81838e+04  2.02231e-16
3.54813e+04  8.70227e-17
4.46684e+04  3.74881e-17
5.62341e+04  1.59447e-17
7.07946e+04  6.85445e-18
8.91251e+04  2.89799e-18
1.12202e+05  1.22461e-18
1.41254e+05  5.13757e-19
1.77828e+05  2.14601e-19
2.23872e+05  8.69442e-20
2.81838e+05  3.33715e-20
3.54813e+05  1.12088e-20
4.46684e+05  2.79464e-21
5.62341e+05  2.85630e-22
7.07946e+05  1.70632e-24
8.91251e+05  0.00000e+00
